ped_codi,cli_codi,cli_nomb,cli_emai,cli_doc,cli_tele,cli_dire,ped_fech,ped_tota,ped_esta,ped_esta_desc,ped_fpag,ped_fpag_desc,cantidad_items,dpe_codi,art_codi,art_nomb,dpe_cant,dpe_prec,dpe_des,dpe_subt
62,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-03,107690.0,P,"Pendiente",CDO,"Contado",1,64,1,"Taladro Profesional DeWalt 20V",1,107690.0,0.0,107690.0
61,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-03,107690.0,P,"Pendiente",CDO,"Contado",1,63,1,"Taladro Profesional DeWalt 20V",1,107690.0,0.0,107690.0
60,13,"Hugo Lucero","h.lucero@itecriocuarto.org.ar","","","",2026-02-03,107690.0,P,"Pendiente",CDO,"Contado",1,62,1,"Taladro Profesional DeWalt 20V",1,107690.0,0.0,107690.0
59,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-03,107690.0,P,"Pendiente",CDO,"Contado",1,61,1,"Taladro Profesional DeWalt 20V",1,107690.0,0.0,107690.0
58,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-03,107690.0,P,"Pendiente",CDO,"Contado",1,60,1,"Taladro Profesional DeWalt 20V",1,107690.0,0.0,107690.0
57,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-03,105270.0,P,"Pendiente",CDO,"Contado",1,59,1,"Taladro Profesional DeWalt 20V",1,105270.0,0.0,105270.0
56,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-03,105270.0,P,"Pendiente",CDO,"Contado",1,58,3,"Lijadora Orbital Bosch 5""",1,105270.0,0.0,105270.0
55,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-03,98010.0,P,"Pendiente",CDO,"Contado",1,57,1,"Taladro Profesional DeWalt 20V",1,98010.0,0.0,98010.0
54,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-03,98010.0,P,"Pendiente",CDO,"Contado",1,56,1,"Taladro Profesional DeWalt 20V",1,98010.0,0.0,98010.0
53,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-03,70785.0,P,"Pendiente",CDO,"Contado",1,55,15,"Linterna LED Profesional 1000 lum",1,70785.0,0.0,70785.0
52,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-03,70785.0,P,"Pendiente",CDO,"Contado",1,54,15,"Linterna LED Profesional 1000 lum",1,70785.0,0.0,70785.0
51,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-03,70785.0,P,"Pendiente",CDO,"Contado",1,53,15,"Linterna LED Profesional 1000 lum",1,70785.0,0.0,70785.0
50,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-03,70785.0,P,"Pendiente",CDO,"Contado",1,52,15,"Linterna LED Profesional 1000 lum",1,70785.0,0.0,70785.0
49,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-03,70785.0,P,"Pendiente",CDO,"Contado",1,51,15,"Linterna LED Profesional 1000 lum",1,70785.0,0.0,70785.0
48,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-03,70785.0,P,"Pendiente",CDO,"Contado",1,50,15,"Linterna LED Profesional 1000 lum",1,70785.0,0.0,70785.0
47,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-03,70785.0,P,"Pendiente",CDO,"Contado",1,49,15,"Linterna LED Profesional 1000 lum",1,70785.0,0.0,70785.0
46,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-03,98010.0,P,"Pendiente",CDO,"Contado",1,48,1,"Taladro Profesional DeWalt 20V",1,98010.0,0.0,98010.0
45,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-03,98010.0,P,"Pendiente",CDO,"Contado",1,47,1,"Taladro Profesional DeWalt 20V",1,98010.0,0.0,98010.0
44,12,"Juan Merlo","juan@merlo.com","43434344","","",2026-02-03,264990.0,P,"Pendiente",CDO,"Contado",1,46,2,"Sierra Circular Makita 7 1/4""",1,264990.0,0.0,264990.0
43,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-02,529980.0,P,"Pendiente",EF,"Desconocido",1,45,2,"Sierra Circular Makita 7 1/4""",2,264990.0,0.0,529980.0
42,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-02,52030.0,P,"Pendiente",EF,"Desconocido",1,44,1,"Taladro Profesional DeWalt 20V",1,52030.0,0.0,52030.0
41,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-02,529980.0,P,"Pendiente",EF,"Desconocido",1,43,2,"Sierra Circular Makita 7 1/4""",2,264990.0,0.0,529980.0
40,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-02,50820.0,P,"Pendiente",EF,"Desconocido",1,42,1,"Taladro Profesional DeWalt 20V",1,50820.0,0.0,50820.0
39,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-02,49610.0,P,"Pendiente",EF,"Desconocido",1,41,1,"Taladro Profesional DeWalt 20V",1,49610.0,0.0,49610.0
38,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-02,48400.0,P,"Pendiente",EF,"Desconocido",1,40,1,"Taladro Profesional DeWalt 20V",1,48400.0,0.0,48400.0
37,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-02,48400.0,P,"Pendiente",EF,"Desconocido",1,39,1,"Taladro Profesional DeWalt 20V",1,48400.0,0.0,48400.0
35,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-02,33880.0,P,"Pendiente",EF,"Desconocido",1,37,1,"Taladro Profesional DeWalt 20V",1,33880.0,0.0,33880.0
34,9,"hugo lucero","hugo@lucero.com","43432423","","",2026-02-02,32670.0,P,"Pendiente",EF,"Desconocido",1,36,1,"Taladro Profesional DeWalt 20V",1,32670.0,0.0,32670.0
32,3,"Hugo Lucero","hugo@lucero2.com","","","",2026-01-22,871200.0,P,"Pendiente",TC,"Desconocido",1,34,18,"Pistola Caladora Inalámbrica",2,435600.0,0.0,871200.0
31,7,"Fausto Hernandez","fausto@gmail.com","42425425","233675999","San Martin 954",2026-01-22,108900.0,P,"Pendiente",TR,"Desconocido",1,33,14,"Nivel Láser Digital Bosch 30m",2,54450.0,0.0,108900.0
33,8,"Pablo Brizzio","pablob@gmail.com","41554354","23355464649","Moreno 215",2026-01-22,524350.0,P,"Pendiente",TD,"Desconocido",1,35,10,"Compresor de Aire Stanley 50L",3,175450.0,2000.0,524350.0
30,8,"Pablo Brizzio","pablob@gmail.com","41554354","23355464649","Moreno 215",2026-01-22,45980.0,P,"Pendiente",TC,"Desconocido",1,32,5,"Mazo de Goma 32oz",1,45980.0,0.0,45980.0
27,6,"Juan Perez","juanperez@gmail.com","43134335","","",2026-01-19,72600.0,P,"Pendiente",EF,"Desconocido",1,29,19,"Cinta Métricaaaaa  de Fibra 10m",2,36300.0,0.0,72600.0
19,3,"Hugo Lucero","hugo@lucero2.com","","","",2026-01-16,105270.0,F,"Facturado",EF,"Desconocido",1,21,3,"Lijadora Orbital Bosch 5""",1,105270.0,0.0,105270.0
18,3,"Hugo Lucero","hugo@lucero2.com","","","",2026-01-16,105270.0,P,"Pendiente",EF,"Desconocido",1,20,3,"Lijadora Orbital Bosch 5""",1,105270.0,0.0,105270.0
17,3,"Hugo Lucero","hugo@lucero2.com","","","",2026-01-16,264990.0,C,"Cancelado",EF,"Desconocido",1,19,2,"Sierra Circular Makita 7 1/4""",1,264990.0,0.0,264990.0
28,7,"Fausto Hernandez","fausto@gmail.com","42425425","233675999","San Martin 954",2026-01-13,159720.0,P,"Pendiente",TD,"Desconocido",1,30,4,"Juego 40 Destornilladores",2,79860.0,0.0,159720.0
29,6,"Juan Perez","juanperez@gmail.com","43134335","","",2026-01-13,137940.0,P,"Pendiente",TR,"Desconocido",1,31,5,"Mazo de Goma 32oz",3,45980.0,0.0,137940.0
